Company Age,Yearly Revenue,Original Ask Amount,Original Ask Equity,Valuation Requested,Received Offer
7,72,50,5,1000,1
6,4.8,40,15,267,1
2,24,25,10,250,1
4,700,70,1,7000,1
8,20,50,5,1000,0
18,79,50,5,1000,0
3,15,100,0.25,40000,0
4,100,75,4,1875,1
4,240,50,2,2500,1
2,48,50,7.5,667,1
2,60,50,10,500,0
3,180,75,4,1875,1
10,66,50,5,1000,0
4,50,20,10,200,0
2,72,45,5,900,1
11,115,50,10,500,1
4,107,100,1,10000,0
3,1300,100,2,5000,1
5,110,75,1,7500,1
6,72,50,7.5,667,1
5,60,50,2.5,2000,1
2,0,56,7.5,747,1
5,0,30,3,1000,1
4,360,50,5,1000,1
3,300,50,2.5,2000,1
25,1600,100,5,2000,1
2,7.68,25,5,500,1
3,130,30,5,600,1
4,700,30,2,1500,1
22,80,300,25,1200,0
4,77,50,5,1000,1
2,3.84,30,10,300,1
6,250,75,4,1875,1
4,75.6,40,3,1333,0
2,0,40,5,800,1
7,1300,30,0.5,6000,1
5,10.8,50,10,500,1
4,180,50,2,2500,1
4,90,100,3,3333,1
5,143,100,3,3333,1
3,0,45,5,900,0
4,1000,30,3,1000,1
2,0,50,4,1250,1
4,100,0.00005,5,0,1
7,400,80,4,2000,1
8,36,75,7,1071,0
3,12,75,4,1875,1
6,36,45,2,2250,1
2,42,50,10,500,1
4,150,150,3,5000,1
6,110,50,5,1000,0
7,250,80,10,800,1
7,54,90,3,3000,0
4,27,50,4,1250,1
5,70,100,1,10000,1
8,116,50,2.5,2000,0
11,12,15,5,300,0
3,54,50,5,1000,1
5,180,150,1.25,12000,1
4,14,120,8,1500,0
3,340,65,2,3250,1
3,69,35,5,700,0
3,276,50,2,2500,1
5,360,100,8,1250,1
5,12,47,10,470,1
5,36,35,5,700,1
4,250,60,2,3000,1
2,4.5,75,5,1500,0
5,372,80,0.5,16000,1
8,240,50,2,2500,1
4,192,100,5,2000,1
9,500,100,1,10000,1
5,250,30,5,600,1
4,168,75,5,1500,0
2,84,40,8,500,1
9,0,30,10,300,1
4,17.4,20,10,200,0
7,120,50,4,1250,1
